tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
177,2019-10-12 01:27:39.5340,2019-10-12 01:30:36.7070,177,University Park,42.36264779118595,-71.1000609397888,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,4144,Subscriber,1983,1,4880,-71.10111233136695,42.364958469355095,158921,-71.10495202427624,42.357760573995435,5259.0,5436.0,True,True
519,2019-10-12 01:34:06.1110,2019-10-12 01:42:45.9380,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,4847,Subscriber,1996,1,102947,-71.08326256467896,42.36988594883814,85436,-71.10200661222669,42.363896714743376,5646.0,6165.0,True,True
265,2019-10-12 01:34:08.6180,2019-10-12 01:38:33.6250,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,185,Third at Binney,42.365444861374,-71.08277142047879,2749,Subscriber,1997,1,20598,-71.08412442058732,42.37122185162851,128198,-71.08374094113844,42.364960421945256,5648.0,5913.0,True,True
48986,2019-10-12 01:42:28.1020,2019-10-12 15:18:54.8420,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,115,Porter Square Station,42.387995,-71.119084,2842,Customer,1969,0,4894,-71.10625499999998,42.369061,40069,-71.12219348062231,42.38700490241272,6148.0,55134.0,True,True
774,2019-10-12 01:42:43.3720,2019-10-12 01:55:37.6180,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,115,Porter Square Station,42.387995,-71.119084,3823,Subscriber,1994,1,184192,-71.10797181180774,42.36829792050846,182659,-71.12021340000001,42.38825715,6163.0,6937.0,True,True
869,2019-10-12 02:07:03.8150,2019-10-12 02:21:33.5480,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,107,Ames St at Main St,42.3625,-71.08821999999998,5759,Subscriber,1991,1,257075,-71.11999206040736,42.373170361949626,259923,-71.0866880959008,42.36212663925436,7623.0,8493.0,True,True
215,2019-10-12 02:22:12.4300,2019-10-12 02:25:47.7260,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,3695,Subscriber,1986,1,65898,-71.08714586215893,42.37147981818731,92460,-71.08874287716452,42.372328794697275,8532.0,8747.0,True,True
245,2019-10-12 02:31:05.8070,2019-10-12 02:35:11.0380,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,177,University Park,42.36264779118595,-71.1000609397888,4157,Subscriber,1997,2,124918,-71.09382272195718,42.35725043995431,156905,-71.09882367119647,42.36299997473513,9065.0,9311.0,True,True
345,2019-10-12 03:44:19.7680,2019-10-12 03:50:05.0780,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,5801,Subscriber,1991,1,11264,-71.0839652,42.3710136,91047,-71.09820253781191,42.36669175706117,13459.0,13805.0,True,True
551,2019-10-12 04:08:56.9910,2019-10-12 04:18:08.0270,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1177,Subscriber,1991,1,225449,-71.11478165,42.37696425,118405,-71.10502931123443,42.36375496347636,14936.0,15488.0,True,True
