tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
1358,2019-10-07 01:23:43.9630,2019-10-07 01:46:22.5600,189,Kendall T,42.362427842912396,-71.08495473861693,333,699 Mt Auburn St,42.37500235137831,-71.14871613699506,4933,Subscriber,1982,0,4333,-71.08214497447227,42.361156860308384,225072,-71.15062620518455,42.37528536299073,5023.0,6382.0,True,True
2127,2019-10-07 01:37:04.5720,2019-10-07 02:12:31.7530,107,Ames St at Main St,42.3625,-71.08821999999998,183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,5879,Subscriber,1964,1,153300,-71.0847225450677,42.362063254342985,16672,-71.14397746928174,42.39384393812375,5824.0,7951.0,True,True
757,2019-10-07 01:39:28.9300,2019-10-07 01:52:05.9930,144,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,3184,Subscriber,1992,1,257611,-71.07850643347486,42.36623525424592,119326,-71.10244041494933,42.35770086972958,5968.0,6725.0,True,True
273,2019-10-07 02:51:34.4460,2019-10-07 02:56:08.2650,318,Ames St at Broadway,42.3636929,-71.0875672,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,2613,Subscriber,1992,1,202849,-71.08585858461151,42.362140702146775,57695,-71.09979154708721,42.36705794789372,10294.0,10568.0,True,True
232,2019-10-07 03:06:21.6440,2019-10-07 03:10:14.4140,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025694,807,Subscriber,1994,1,55432,-71.11867313064491,42.380196168757294,96621,-71.11522546872648,42.37040781623738,11181.0,11414.0,True,True
165,2019-10-07 03:21:53.4050,2019-10-07 03:24:38.4090,318,Ames St at Broadway,42.3636929,-71.0875672,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3894,Subscriber,1990,1,28050,-71.08658655051046,42.36563097347143,258227,-71.09001502095087,42.368659201341906,12113.0,12278.0,True,True
480,2019-10-07 04:55:30.4800,2019-10-07 05:03:31.3850,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,6046,Subscriber,1997,2,63700,-71.10394098904165,42.37026964203167,225933,-71.11344193880359,42.358852130770565,17730.0,18211.0,True,True
405,2019-10-07 05:19:58.7220,2019-10-07 05:26:44.5800,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,4988,Subscriber,1984,1,55721,-71.1028516577742,42.35797056783474,69948,-71.08561003055435,42.364083413372576,19198.0,19604.0,True,True
259,2019-10-07 05:27:43.1130,2019-10-07 05:32:02.7310,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,2283,Subscriber,1980,1,246656,-71.1183752,42.37894455,257075,-71.11999206040736,42.373170361949626,19663.0,19922.0,True,True
432,2019-10-07 05:29:23.8390,2019-10-07 05:36:36.6240,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,5940,Subscriber,1972,2,184829,-71.10224816851209,42.37069248460408,63531,-71.11862125546885,42.37263229898648,19763.0,20196.0,True,True
617,2019-10-07 05:38:18.3380,2019-10-07 05:48:36.0460,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5951,Subscriber,1993,2,102902,-71.07314458461623,42.36996755722775,201814,-71.0906730683855,42.35941899330216,20298.0,20916.0,True,True
508,2019-10-07 05:43:54.3570,2019-10-07 05:52:23.1630,179,MIT Vassar St,42.35560121327927,-71.10394477844237,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,6137,Subscriber,1981,1,57395,-71.1068149360675,42.356896042401,117899,-71.1041886740868,42.36250833876985,20634.0,21143.0,True,True
373,2019-10-07 05:44:01.1730,2019-10-07 05:50:14.7060,115,Porter Square Station,42.387995,-71.119084,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,2768,Subscriber,1989,2,259756,-71.11857929782731,42.386520104617716,121233,-71.11781045000002,42.373649,20641.0,21014.0,True,True
641,2019-10-07 05:45:47.4970,2019-10-07 05:56:29.4540,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4303,Subscriber,1992,2,20588,-71.07723999861103,42.3711804990218,201826,-71.09403266333078,42.360384138204104,20747.0,21389.0,True,True
827,2019-10-07 05:52:16.8420,2019-10-07 06:06:04.5950,139,Dana Park,42.361780439606044,-71.10809952020645,398,75 Binney St,42.36550728505653,-71.0801375997653,5206,Subscriber,1993,1,172872,-71.10793817603572,42.359203437178785,203466,-71.08123250016305,42.3647333463374,21136.0,21964.0,True,True
345,2019-10-07 05:54:34.2910,2019-10-07 06:00:19.8020,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2557,Subscriber,1988,1,225654,-71.10441175000003,42.36844215000001,201815,-71.09306010155241,42.36038338513815,21274.0,21619.0,True,True
365,2019-10-07 06:04:14.2890,2019-10-07 06:10:19.7090,185,Third at Binney,42.365444861374,-71.08277142047879,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5388,Subscriber,1991,1,28450,-71.08171963453691,42.367611218837965,201804,-71.09277124838573,42.35952966139424,21854.0,22219.0,True,True
453,2019-10-07 06:05:21.4720,2019-10-07 06:12:55.3940,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,3152,Subscriber,1987,1,35738,-71.10152115,42.35709535,69948,-71.08561003055435,42.364083413372576,21921.0,22375.0,True,True
