tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
491,2019-10-12 00:00:20.6120,2019-10-12 00:08:32.0940,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,141,Kendall Street,42.36356015842989,-71.08216792345047,5144,Subscriber,1997,1,210303,-71.09920330714742,42.37687117155159,260667,-71.08158049814985,42.36302972003322,20.0,512.0
1462,2019-10-12 00:02:06.3210,2019-10-12 00:26:29.0860,371,700 Huron Ave,42.38078817291429,-71.15412890911101,111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,5063,Subscriber,1981,0,170113,-71.15673310283879,42.37892233661618,95304,-71.12484294999999,42.4028403,126.0,1589.0
819,2019-10-12 00:02:27.6970,2019-10-12 00:16:06.7830,121,W Broadway at Dorchester St,42.335958979433094,-71.04622899561036,35,Arch St at Franklin St,42.35533501941256,-71.0582291708306,6005,Subscriber,1992,1,252444,-71.04402611622525,42.33498209298621,246227,-71.0575785030127,42.35654587057663,147.0,966.0
445,2019-10-12 00:03:50.7050,2019-10-12 00:11:15.9760,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,338,Commonwealth Ave at Kelton St,42.34835862817045,-71.13997217276847,4265,Subscriber,1995,1,962,-71.12408783576687,42.34063130250904,1522,-71.14004071602163,42.345954323203,230.0,675.0
780,2019-10-12 00:04:16.2290,2019-10-12 00:17:17.1730,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,195,Child St at North St,42.37150494100319,-71.07249312120985,4670,Subscriber,1988,2,120939,-71.1134139,42.37402855,225533,-71.07003610821548,42.37024766379478,256.0,1037.0
513,2019-10-12 00:05:24.1830,2019-10-12 00:13:57.9920,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,4843,Subscriber,1989,1,221,-71.09442545666069,42.357174559331405,254636,-71.07868106775047,42.34143453949826,324.0,837.0
1127,2019-10-12 00:06:40.9810,2019-10-12 00:25:28.1170,64,Congress St at Sleeper St,42.351004495946704,-71.04930013418199,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,5618,Subscriber,1982,1,73802,-71.04772024999998,42.35199055000001,36595,-71.09985732714573,42.365214374343076,400.0,1528.0
607,2019-10-12 00:06:41.3590,2019-10-12 00:16:48.8690,74,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,378,191 Beacon St,42.380323350454155,-71.10878612855231,5782,Subscriber,1994,0,6729,-71.11913594540732,42.37166414387711,96442,-71.1098592806618,42.37820336109514,401.0,1008.0
157,2019-10-12 00:12:24.3260,2019-10-12 00:15:02.1110,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828000000004,-71.130516,6113,Subscriber,1990,2,37111,-71.12272006031199,42.3971660607796,121232,-71.127781,42.397299399999994,744.0,902.0
130,2019-10-12 00:12:44.5620,2019-10-12 00:14:55.1690,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828000000004,-71.130516,3940,Subscriber,1990,1,137930,-71.12373803428213,42.398628651545984,16573,-71.13103296091225,42.39698952987187,764.0,895.0
